City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Laguna,US,73.58,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
105,Calvia,ES,51.93,overcast clouds,39.5657,2.5062,Castell Son Claret
107,Bilma,NE,81.93,few clouds,18.6853,12.9164,Expeditions Ténére voyages
108,Kattivakkam,IN,82.08,scattered clouds,13.2167,80.3167,Euronova Freezer
111,Santa Isabel Do Rio Negro,BR,74.01,broken clouds,-0.4139,-65.0192,Hotel GSA
113,Tuskegee,US,74.55,clear sky,32.424,-85.6916,Macon Motel
114,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
115,Nanchong,CN,57.72,overcast clouds,30.7951,106.0847,Marine Una Century Hotel
119,Port Blair,IN,81.9,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
121,Touros,BR,78.13,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
124,Imbituba,BR,71.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
125,Hirara,JP,71.87,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
126,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
127,Lukulu,ZM,65.79,light rain,-14.3707,23.242,Ruth Guest House
128,Lavras,BR,67.39,scattered clouds,-21.2453,-44.9997,Hotel Ouro Lavras
129,Luanda,AO,76.15,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
130,Pulaski,US,67.32,overcast clouds,34.7668,-92.3001,DoubleTree by Hilton Hotel Little Rock
131,New Norfolk,AU,61.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
132,Ancud,CL,56.23,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
135,Itarema,BR,76.86,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
136,Bengkulu,ID,79.14,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
137,Hasaki,JP,54.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
140,Ojinaga,MX,85.41,clear sky,29.5667,-104.4167,Suites Las Palmas
141,Buraydah,SA,73.85,overcast clouds,26.326,43.975,Mövenpick Qassim
143,Bosaso,SO,78.6,clear sky,11.2842,49.1816,Red Sea Hotel
145,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
146,Mitchell,US,58.98,clear sky,43.7094,-98.0298,Kelly Inn & Suites
147,Vao,NC,78.98,light rain,-22.6667,167.4833,Hotel Kou-Bugny
148,Caravelas,BR,76.37,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
150,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
151,Roebourne,AU,89.26,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
