City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Bilma,NE,18.6853,12.9164,81.93,7,11,4.5,few clouds
108,Kattivakkam,IN,13.2167,80.3167,82.08,87,46,7.94,scattered clouds
109,Yumen,CN,40.2833,97.2,52.25,15,0,1.05,clear sky
110,Khorixas,NA,-20.3667,14.9667,62.4,60,0,2.57,clear sky
111,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.01,98,62,2.8,broken clouds
112,Ciurea,RO,47.05,27.5667,34.34,73,0,3.44,clear sky
113,Tuskegee,US,32.424,-85.6916,74.55,55,3,3.36,clear sky
114,Mount Isa,AU,-20.7333,139.5,87.57,11,7,11.5,clear sky
115,Nanchong,CN,30.7951,106.0847,57.72,86,100,0.96,overcast clouds
116,Albany,US,42.6001,-73.9662,43.63,66,100,7.09,overcast clouds
117,Pechenga,RU,69.5259,31.1703,8.62,98,100,7.49,overcast clouds
118,Norman Wells,CA,65.282,-126.8329,5.04,47,75,12.66,broken clouds
119,Port Blair,IN,11.6667,92.75,81.9,75,82,3.51,broken clouds
120,Bereda,ES,43.2686,-7.5406,33.15,89,3,5.61,clear sky
121,Touros,BR,-5.1989,-35.4608,78.13,79,39,9.84,scattered clouds
122,Pereslavl-Zalesskiy,RU,56.7393,38.8563,19.35,94,22,6.42,few clouds
123,Okhotsk,RU,59.3833,143.3,26.17,81,100,10.87,light snow
124,Imbituba,BR,-28.24,-48.6703,71.82,92,100,6.49,overcast clouds
125,Hirara,JP,24.8,125.2833,71.87,53,40,10.36,scattered clouds
126,Georgetown,MY,5.4112,100.3354,78.73,87,40,2.3,scattered clouds
127,Lukulu,ZM,-14.3707,23.242,65.79,96,100,2.73,light rain
128,Lavras,BR,-21.2453,-44.9997,67.39,88,44,1.21,scattered clouds
129,Luanda,AO,-8.8368,13.2343,76.15,84,83,6.29,broken clouds
130,Pulaski,US,34.7668,-92.3001,67.32,72,100,9.22,overcast clouds
131,New Norfolk,AU,-42.7826,147.0587,61.66,59,100,1.99,overcast clouds
132,Ancud,CL,-41.8697,-73.8203,56.23,96,100,12.57,light rain
133,Aldan,RU,58.6031,125.3894,13.05,89,100,11.25,light snow
