City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Winburg,ZA,2022-03-31 20:04:20,-28.518,27.0093,62.69,41,28,3.02
145,Brazzaville,CG,2022-03-31 20:04:21,-4.2658,15.2832,80.98,66,94,2.01
146,Cherskiy,RU,2022-03-31 20:04:21,68.75,161.3,-16.65,100,100,3.8
147,Mehamn,NO,2022-03-31 20:04:21,71.0357,27.8492,26.51,80,40,11.5
148,Oriximina,BR,2022-03-31 20:04:22,-1.7656,-55.8661,78.66,83,92,3.51
149,Gawler,AU,2022-03-31 20:02:39,-34.6,138.7333,55.26,74,3,11.41
150,Adrar,MR,2022-03-31 20:02:23,20.5022,-10.0711,77.85,16,100,8.5
151,Lhokseumawe,ID,2022-03-31 20:04:22,5.1801,97.1507,78.51,83,100,7.2
152,Zhangjiakou,CN,2022-03-31 20:04:23,40.81,114.8794,33.91,28,43,3.24
153,Saldanha,ZA,2022-03-31 20:04:23,-33.0117,17.9442,61.97,77,2,22.95
154,Lodja,CD,2022-03-31 20:04:23,-3.4833,23.4333,71.69,88,27,3.0
155,Medvedka,RU,2022-03-31 20:04:24,61.1629,46.387,24.66,93,97,7.49
156,Halifax,CA,2022-03-31 20:02:00,44.6453,-63.5724,42.35,71,100,13.0
157,Geraldton,AU,2022-03-31 20:04:24,-28.7667,114.6,72.01,88,100,5.75
158,Kamenka,RU,2022-03-31 20:04:25,51.3223,42.7678,45.03,79,87,14.88
159,Petatlan,MX,2022-03-31 20:04:25,17.5167,-101.2667,82.2,39,8,8.03
160,Severo-Kurilsk,RU,2022-03-31 20:04:26,50.6789,156.125,28.36,81,81,15.41
161,Tucuman,AR,2022-03-31 20:01:36,-26.8241,-65.2226,65.91,32,0,4.81
162,Severo-Yeniseyskiy,RU,2022-03-31 20:04:26,60.3725,93.0408,20.48,84,100,10.49
163,Nuevo Progreso,MX,2022-03-31 20:04:27,23.1667,-97.95,82.47,46,55,7.0
164,Rosarito,MX,2022-03-31 20:00:28,32.3333,-117.0333,63.41,74,99,9.37
165,Klaksvik,FO,2022-03-31 20:04:27,62.2266,-6.589,36.52,65,100,7.34
166,Hamilton,US,2022-03-31 20:04:27,39.1834,-84.5333,45.88,74,100,16.11
167,Knysna,ZA,2022-03-31 20:04:28,-34.0363,23.0471,63.39,85,100,2.28
168,La Ronge,CA,2022-03-31 20:04:29,55.1001,-105.2842,34.48,84,100,8.23
169,Boende,CD,2022-03-31 20:04:29,-0.2167,20.8667,78.35,65,44,2.17
170,Torbay,CA,2022-03-31 20:00:19,47.6666,-52.7314,41.29,70,36,5.99
171,Kamaishi,JP,2022-03-31 20:04:29,39.2667,141.8833,35.49,66,97,7.09
172,Lufilufi,WS,2022-03-31 20:04:30,-13.8745,-171.5986,82.18,70,100,16.13
173,Macamic,CA,2022-03-31 20:04:30,48.7502,-78.9996,38.88,100,100,14.05
174,Sol-Iletsk,RU,2022-03-31 20:04:30,51.1631,54.9918,38.01,85,64,8.48
175,Severnoye,RU,2022-03-31 20:04:31,56.3491,78.3619,34.07,89,100,17.05
176,Apsheronsk,RU,2022-03-31 20:04:31,44.46,39.73,49.17,59,6,6.33
177,Brunico,IT,2022-03-31 20:04:32,46.7958,11.9364,44.1,95,100,3.04
178,Carazinho,BR,2022-03-31 20:03:11,-28.2839,-52.7864,61.12,52,0,9.89
179,Kuito,AO,2022-03-31 20:05:32,-12.3833,16.9333,61.25,93,94,1.7
180,Saskylakh,RU,2022-03-31 20:05:33,71.9167,114.0833,3.58,98,100,6.69
181,Kupang,ID,2022-03-31 20:01:10,-10.1667,123.5833,75.45,85,4,5.7
182,Igrim,RU,2022-03-31 20:05:33,63.1906,64.4162,15.69,90,27,8.59
183,Villarrubia De Los Ojos,ES,2022-03-31 20:05:33,39.2209,-3.608,49.93,82,68,7.07
184,Natitingou,BJ,2022-03-31 20:05:34,10.3042,1.3796,92.43,24,95,3.69
185,Kozhva,RU,2022-03-31 20:05:34,65.1073,57.0459,11.61,96,86,5.95
186,Leningradskiy,RU,2022-03-31 20:05:34,69.3833,178.4167,-3.66,94,99,0.36
187,Luanda,AO,2022-03-31 20:04:07,-8.8368,13.2343,77.99,90,100,10.65
188,Port Elizabeth,ZA,2022-03-31 20:03:00,-33.918,25.5701,66.31,82,100,11.99
189,Santarem,BR,2022-03-31 20:01:41,-2.4431,-54.7083,77.94,82,100,2.86
190,Diamantino,BR,2022-03-31 20:05:35,-14.4086,-56.4461,64.9,96,100,7.36
191,Natal,BR,2022-03-31 20:05:02,-5.795,-35.2094,83.05,78,20,8.05
192,Yishui,CN,2022-03-31 20:05:36,35.7847,118.6281,39.61,61,100,7.05
193,Longonjo,AO,2022-03-31 20:05:36,-12.9067,15.2533,65.34,93,100,1.43
194,Carnduff,CA,2022-03-31 20:05:36,49.1667,-101.8009,44.38,41,70,9.75
195,Havre-Saint-Pierre,CA,2022-03-31 20:05:37,50.2334,-63.5986,34.23,81,54,4.72
196,Karratha,AU,2022-03-31 20:05:37,-20.7377,116.8463,84.54,70,82,8.99
197,Yellowknife,CA,2022-03-31 20:05:38,62.456,-114.3525,19.42,81,100,11.01
198,Berdigestyakh,RU,2022-03-31 20:00:56,62.0989,126.6992,8.42,97,99,3.22
199,Utraula,IN,2022-03-31 20:05:38,27.3167,82.4167,77.34,31,0,5.41
200,Conde,BR,2022-03-31 20:05:39,-7.2597,-34.9075,81.86,78,20,12.66
201,Thongwa,MM,2022-03-31 20:05:39,16.7619,96.5278,78.96,67,100,5.44
202,Korla,CN,2022-03-31 20:05:40,41.7597,86.1469,47.57,43,2,1.66
203,Caravelas,BR,2022-03-31 20:05:40,-17.7125,-39.2481,80.89,74,0,7.7
204,Vila Franca Do Campo,PT,2022-03-31 20:05:40,37.7167,-25.4333,63.01,88,71,4.29
205,Jumla,NP,2022-03-31 20:05:41,29.2747,82.1838,47.55,54,0,4.27
206,Praia,CV,2022-03-31 20:05:41,14.9215,-23.5087,72.14,68,0,17.27
207,Anadyr,RU,2022-03-31 20:05:41,64.75,177.4833,6.01,84,99,21.99
208,Port Lincoln,AU,2022-03-31 20:05:42,-34.7333,135.8667,60.1,68,19,22.53
209,Hambantota,LK,2022-03-31 20:05:42,6.1241,81.1185,78.8,83,11,3.04
210,Paraiso,CR,2022-03-31 20:05:43,9.8383,-83.8656,79.66,57,86,3.87
211,Faanui,PF,2022-03-31 20:05:43,-16.4833,-151.75,82.31,66,15,14.23
212,Dunedin,NZ,2022-03-31 20:00:49,-45.8742,170.5036,51.8,59,100,3.0
213,Imbituba,BR,2022-03-31 20:04:16,-28.24,-48.6703,66.6,59,15,11.9
214,The Valley,AI,2022-03-31 20:05:44,18.217,-63.0578,81.82,65,75,17.27
215,Sakakah,SA,2022-03-31 20:05:44,29.9697,40.2064,69.55,10,16,6.22
216,Bowen,AU,2022-03-31 20:05:45,-20.0167,148.2333,72.84,76,0,5.7
217,Odweyne,SO,2022-03-31 20:05:45,9.4092,45.064,73.81,55,14,6.33
218,Kiomboi,TZ,2022-03-31 20:05:45,-4.2667,34.3667,62.4,81,61,4.36
219,East London,ZA,2022-03-31 20:01:56,-33.0153,27.9116,67.48,94,100,1.41
220,Port Hedland,AU,2022-03-31 20:05:46,-20.3167,118.5667,78.85,89,46,5.75
221,Palu,ID,2022-03-31 20:05:46,-0.8917,119.8707,74.59,92,96,3.13
222,Sri Aman,MY,2022-03-31 20:05:47,1.2376,111.4621,74.07,99,95,0.43
223,Tasiilaq,GL,2022-03-31 20:05:47,65.6145,-37.6368,35.76,98,100,5.84
224,Bambous Virieux,MU,2022-03-31 20:05:47,-20.3428,57.7575,79.21,75,97,18.19
225,Egvekinot,RU,2022-03-31 20:06:48,66.3167,-179.1667,5.67,87,98,17.96
226,Alofi,NU,2022-03-31 20:06:48,-19.0595,-169.9187,82.29,83,20,9.22
227,Kuryk,KZ,2022-03-31 20:06:49,43.2,51.65,52.39,55,0,6.06
228,Tiksi,RU,2022-03-31 20:06:49,71.6872,128.8694,3.13,98,100,6.31
229,Cairns,AU,2022-03-31 20:06:49,-16.9167,145.7667,69.06,82,15,1.14
230,Sal Rei,CV,2022-03-31 20:06:50,16.1833,-22.9167,69.35,83,11,18.57
231,Astoria,US,2022-03-31 20:06:50,46.1879,-123.8313,52.72,73,72,5.99
232,Mar Del Plata,AR,2022-03-31 20:06:50,-38.0023,-57.5575,60.87,72,40,10.0
233,Pareora,NZ,2022-03-31 20:06:51,-44.4871,171.2132,52.18,97,100,11.63
234,Fare,PF,2022-03-31 20:06:51,-16.7,-151.0167,81.63,70,27,12.64
235,Chicama,PE,2022-03-31 20:06:52,-7.8447,-79.1469,68.54,61,73,11.39
236,Barreiras,BR,2022-03-31 20:06:52,-12.1528,-44.99,90.64,38,30,2.82
237,Burns Lake,CA,2022-03-31 20:05:05,54.2331,-125.7533,41.22,49,96,7.27
238,Cabo San Lucas,MX,2022-03-31 20:05:25,22.8909,-109.9124,82.62,38,20,11.5
239,Ilulissat,GL,2022-03-31 20:06:53,69.2167,-51.1,17.62,93,75,1.14
240,Vanavara,RU,2022-03-31 20:06:53,60.34,102.2797,32.09,89,100,13.73
241,Saint Anthony,US,2022-03-31 20:06:53,45.0205,-93.218,35.26,60,100,16.11
242,Souillac,MU,2022-03-31 20:06:54,-20.5167,57.5167,77.45,79,100,17.25
243,Dale,US,2022-03-31 20:06:54,38.1689,-86.99,44.94,75,100,13.8
244,Marfino,RU,2022-03-31 20:06:55,55.7028,37.3822,32.34,86,75,6.71
245,Namatanai,PG,2022-03-31 20:06:55,-3.6667,152.4333,79.47,80,80,7.11
246,Englewood,US,2022-03-31 20:04:33,39.6478,-104.9878,64.08,17,20,8.05
247,Pskov,RU,2022-03-31 20:06:52,57.8136,28.3496,22.91,80,0,0.0
248,Wanning,CN,2022-03-31 20:06:56,18.8003,110.3967,74.59,94,100,6.98
249,Dobryatino,RU,2022-03-31 20:06:56,55.5055,41.3195,31.01,99,100,2.42
250,Berdychiv,UA,2022-03-31 20:06:57,49.8993,28.6024,49.55,85,100,12.24
251,Half Moon Bay,US,2022-03-31 20:06:43,37.4636,-122.4286,69.89,64,40,10.36
252,Richards Bay,ZA,2022-03-31 20:03:02,-28.783,32.0377,73.62,87,0,8.16
253,Capao Bonito,BR,2022-03-31 20:06:57,-24.0058,-48.3494,58.77,98,100,12.01
254,Lekoni,GA,2022-03-31 20:06:58,-1.5843,14.2591,85.59,49,80,4.25
255,Tezu,IN,2022-03-31 20:06:58,27.9167,96.1667,67.91,92,100,1.25
256,Dongsheng,CN,2022-03-31 20:06:59,39.8161,109.9776,35.98,36,22,11.05
257,Leshan,CN,2022-03-31 20:06:59,29.5623,103.7639,52.63,88,100,5.68
258,Rivera,UY,2022-03-31 20:05:47,-30.9053,-55.5508,64.15,40,8,10.07
259,Lagoa,PT,2022-03-31 20:06:59,39.05,-27.9833,61.63,87,98,11.23
260,Auxerre,FR,2022-03-31 20:07:00,47.8,3.5667,39.63,81,100,11.39
261,Cidreira,BR,2022-03-31 20:07:00,-30.1811,-50.2056,64.42,58,87,10.02
262,Florida,US,2022-03-31 20:03:56,28.7505,-82.5001,82.08,82,100,3.44
263,Treinta Y Tres,UY,2022-03-31 20:07:01,-33.2333,-54.3833,61.81,47,89,12.39
264,Douentza,ML,2022-03-31 20:07:01,14.9951,-2.9517,87.55,6,22,3.13
265,Airai,TL,2022-03-31 20:07:02,-8.9266,125.4092,56.55,81,1,2.01
266,Yar-Sale,RU,2022-03-31 20:07:02,66.8333,70.8333,14.29,80,100,19.77
267,Sechura,PE,2022-03-31 20:08:03,-5.5569,-80.8222,84.99,53,36,11.68
268,Kingston,JM,2022-03-31 20:06:08,17.997,-76.7936,89.24,59,20,29.93
269,Bani,DO,2022-03-31 20:08:04,18.2833,-70.3333,87.24,56,19,15.08
270,Marion,US,2022-03-31 20:04:29,39.7684,-86.1555,42.22,75,100,20.71
271,Padang,ID,2022-03-31 20:08:04,-0.9492,100.3543,75.52,78,45,4.27
272,Kavaratti,IN,2022-03-31 20:08:05,10.5669,72.642,83.26,77,8,10.54
273,Nelson Bay,AU,2022-03-31 20:08:05,-32.7167,152.15,61.0,92,100,25.84
274,Northam,GB,2022-03-31 20:08:06,51.0333,-4.2167,42.62,63,95,19.39
275,Longyearbyen,SJ,2022-03-31 20:08:06,78.2186,15.6401,8.44,78,75,11.5
276,Tateyama,JP,2022-03-31 20:08:06,34.9833,139.8667,44.1,91,100,26.51
277,Mungwi,ZM,2022-03-31 20:08:07,-10.1732,31.3694,62.85,96,100,3.13
278,Lavrentiya,RU,2022-03-31 20:08:07,65.5833,-171.0,13.28,78,47,13.8
279,Kenora,CA,2022-03-31 20:06:43,49.8167,-94.4337,32.77,59,10,8.99
280,Mecca,SA,2022-03-31 20:07:29,21.4267,39.8261,80.46,37,0,5.86
281,Rawson,AR,2022-03-31 20:08:08,-43.3002,-65.1023,70.25,24,84,4.23
282,Chuy,UY,2022-03-31 20:08:08,-33.6971,-53.4616,61.32,61,63,11.68
283,Ayan,RU,2022-03-31 20:08:09,56.45,138.1667,11.07,77,0,10.4
284,Sorland,NO,2022-03-31 20:08:09,67.667,12.6934,33.58,55,100,11.03
285,Lusambo,CD,2022-03-31 20:08:09,-4.9667,23.45,69.93,93,42,2.08
286,Tura,IN,2022-03-31 20:08:10,25.5198,90.2201,69.26,92,58,3.49
287,Truth Or Consequences,US,2022-03-31 20:08:10,33.1284,-107.2528,69.91,21,0,8.05
288,Tutoia,BR,2022-03-31 20:08:11,-2.7619,-42.2744,78.1,88,100,5.73
289,Cayenne,GF,2022-03-31 20:08:11,4.9333,-52.3333,84.24,3,75,9.22
290,Wisconsin Rapids,US,2022-03-31 20:06:19,44.3836,-89.8174,35.22,67,100,13.8
291,Mount Gambier,AU,2022-03-31 20:08:12,-37.8333,140.7667,53.73,70,1,7.63
292,Hay River,CA,2022-03-31 20:08:12,60.8156,-115.7999,13.96,85,100,18.41
293,San Borja,BO,2022-03-31 20:08:13,-14.8167,-66.85,56.41,98,100,4.32
294,Bandarban,BD,2022-03-31 20:08:13,22.1965,92.2262,71.8,98,22,2.75
